FECHA,NOTAS
2020-08-06,7850.0
2020-08-07,8201.0
2020-08-08,5225.0
2020-08-10,7680.0
2020-08-11,7787.0
2020-08-12,6963.0
2020-08-13,7105.0
2020-08-14,8179.0
2020-08-17,8216.0
2020-08-18,8107.0
2020-08-19,6756.0
2020-08-20,7318.0
2020-08-21,7840.0
2020-08-22,5175.0
2020-08-24,8249.0
2020-08-25,8934.0
2020-08-26,8148.0
2020-08-27,8059.0
2020-08-28,9012.0
2020-08-29,6146.0
2020-08-31,9744.0
2020-09-01,10350.0
2020-09-02,9303.0
2020-09-03,8802.0
2020-09-04,9582.0
2020-09-05,6672.0
2020-09-07,9525.0
2020-09-08,8072.0
2020-09-09,8758.0
2020-09-10,9282.0
2020-09-11,7548.0
2020-09-12,6822.0
2020-09-14,9571.0
2020-09-15,9391.0
2020-09-16,8613.0
2020-09-17,8837.0
2020-09-18,9456.0
2020-09-19,6690.0
2020-09-21,9181.0
2020-09-22,9132.0
2020-09-23,8520.0
2020-09-24,7998.0
2020-09-25,10749.0
2020-09-26,7574.0
2020-09-28,10124.0
2020-09-29,10241.0
2020-09-30,9871.0
2020-10-01,10036.0
2020-10-02,10815.0
2020-10-03,7791.0
2020-10-05,10290.0
2020-10-06,9947.0
2020-10-07,8670.0
2020-10-08,9017.0
2020-10-09,9077.0
2020-10-10,7491.0
2020-10-13,10433.0
2020-10-14,10040.0
2020-10-15,9780.0
2020-10-16,10171.0
2020-10-17,7161.0
2020-10-19,9094.0
2020-10-20,9018.0
2020-10-21,8677.0
2020-10-22,8731.0
2020-10-23,10407.0
2020-10-24,7536.0
2020-10-26,10367.0
2020-10-27,10123.0
2020-10-28,9569.0
2020-10-29,10156.0
2020-10-30,11434.0
2020-10-31,8387.0
2020-11-02,4046.0
2020-11-03,11681.0
2020-11-04,11164.0
2020-11-05,11550.0
2020-11-06,11892.0
2020-11-07,8630.0
2020-11-09,9016.0
2020-11-10,8934.0
2020-11-11,8971.0
2020-11-12,8985.0
2020-11-13,10004.0
2020-11-14,6764.0
2020-11-16,8693.0
2020-11-17,8079.0
2020-11-18,7365.0
2020-11-19,7748.0
2020-11-20,9146.0
2020-11-21,6434.0
2020-11-23,8127.0
2020-11-24,8651.0
2020-11-25,9594.0
2020-11-26,9344.0
2020-11-27,10573.0
2020-11-28,8340.0
2020-11-30,10525.0
2020-12-01,10836.0
2020-12-02,9748.0
2020-12-03,9700.0
2020-12-04,11159.0
2020-12-05,8386.0
2020-12-07,4197.0
2020-12-08,2117.0
2020-12-09,9525.0
2020-12-10,10384.0
2020-12-11,10417.0
2020-12-12,7096.0
2020-12-14,8477.0
2020-12-15,8359.0
2020-12-16,8320.0
2020-12-17,8666.0
2020-12-18,9564.0
2020-12-19,7308.0
2020-12-21,9601.0
2020-12-22,9965.0
2020-12-23,10344.0
2020-12-24,4793.0
2020-12-26,3104.0
2020-12-28,9217.0
2020-12-29,10002.0
2020-12-30,10816.0
2020-12-31,5153.0
2021-01-02,5490.0
2021-01-04,10542.0
2021-01-05,9019.0
2021-01-07,11418.0
2021-01-08,11459.0
2021-01-09,5529.0
2021-01-11,7228.0
2021-01-12,7526.0
2021-01-13,7046.0
2021-01-14,8204.0
2021-01-15,10313.0
2021-01-16,8012.0
2021-01-18,9791.0
2021-01-19,10290.0
2021-01-20,9512.0
2021-01-21,9830.0
2021-01-22,10524.0
2021-01-23,8241.0
2021-01-25,9803.0
2021-01-26,10528.0
2021-01-27,9761.0
2021-01-28,9432.0
2021-01-29,11014.0
2021-01-30,9109.0
2021-02-01,9925.0
2021-02-02,10875.0
2021-02-03,10257.0
2021-02-04,10087.0
2021-02-05,11441.0
2021-02-06,8437.0
2021-02-08,9619.0
2021-02-09,9756.0
2021-02-10,9083.0
2021-02-11,9105.0
2021-02-12,10366.0
2021-02-13,7236.0
2021-02-15,8481.0
2021-02-16,8623.0
2021-02-17,7971.0
2021-02-18,8018.0
2021-02-19,9847.0
2021-02-20,6886.0
2021-02-22,8170.0
2021-02-23,8811.0
2021-02-24,8264.0
2021-02-25,9380.0
2021-02-26,11033.0
2021-02-27,8187.0
2021-03-01,8363.0
2021-03-02,10618.0
2021-03-03,9488.0
2021-03-04,9031.0
2021-03-05,10106.0
2021-03-06,7343.0
2021-03-08,8602.0
2021-03-09,8970.0
2021-03-10,7976.0
2021-03-11,8126.0
2021-03-12,9492.0
2021-03-13,6673.0
2021-03-15,7984.0
2021-03-16,8197.0
2021-03-17,8006.0
2021-03-18,8971.0
2021-03-19,5198.0
2021-03-20,7072.0
2021-03-22,8182.0
2021-03-23,8545.0
2021-03-24,7996.0
2021-03-25,9188.0
2021-03-26,10363.0
2021-03-27,7462.0
2021-03-29,9133.0
2021-03-30,10279.0
2021-03-31,11003.0
2021-04-01,5761.0
2021-04-03,6997.0
2021-04-05,6797.0
2021-04-06,10329.0
2021-04-07,10356.0
2021-04-08,9635.0
2021-04-09,10427.0
2021-04-10,7622.0
2021-04-12,8275.0
2021-04-13,8554.0
2021-04-14,7876.0
2021-04-15,8070.0
2021-04-16,9381.0
2021-04-17,6536.0
2021-04-19,8155.0
2021-04-20,8104.0
2021-04-21,7384.0
2021-04-22,8170.0
2021-04-23,9341.0
2021-04-24,7491.0
2021-04-26,9365.0
2021-04-27,9392.0
2021-04-28,8522.0
2021-04-29,9645.0
2021-04-30,12032.0
2021-05-03,9478.0
2021-05-04,11034.0
2021-05-05,9675.0
2021-05-06,9360.0
2021-05-07,10135.0
2021-05-08,6665.0
2021-05-10,8656.0
2021-05-11,8472.0
2021-05-12,7866.0
2021-05-13,7962.0
2021-05-14,9130.0
2021-05-15,5516.0
2021-05-17,7887.0
2021-05-18,7984.0
2021-05-19,7670.0
2021-05-20,7781.0
2021-05-21,9066.0
2021-05-22,6729.0
2021-05-24,7554.0
2021-05-25,9176.0
2021-05-26,8502.0
2021-05-27,8506.0
2021-05-28,9675.0
2021-05-29,6697.0
2021-05-31,8875.0
2021-06-01,9667.0
2021-06-02,9059.0
2021-06-03,7813.0
2021-06-04,9923.0
2021-06-05,6629.0
2021-06-07,8392.0
2021-06-08,8654.0
2021-06-09,7684.0
2021-06-10,8142.0
2021-06-11,9018.0
2021-06-12,5925.0
2021-06-14,8094.0
2021-06-15,8218.0
2021-06-16,7673.0
2021-06-17,7617.0
2021-06-18,8663.0
2021-06-19,5881.0
2021-06-21,7584.0
2021-06-22,7679.0
2021-06-23,7461.0
2021-06-24,4885.0
2021-06-25,10197.0
2021-06-26,6869.0
2021-06-28,8951.0
2021-06-29,8958.0
2021-06-30,8766.0
2021-07-01,9421.0
2021-07-02,10026.0
2021-07-03,6549.0
2021-07-05,8366.0
2021-07-06,8673.0
2021-07-07,7776.0
2021-07-08,7697.0
2021-07-09,8719.0
2021-07-10,6240.0
2021-07-12,7873.0
2021-07-13,8141.0
2021-07-14,7251.0
2021-07-15,7225.0
2021-07-16,8004.0
2021-07-17,5414.0
2021-07-19,7367.0
2021-07-20,7394.0
2021-07-21,6989.0
2021-07-22,6955.0
2021-07-23,8375.0
2021-07-24,6027.0
2021-07-26,7938.0
2021-07-27,8114.0
2021-07-28,7040.0
2021-07-29,7333.0
2021-07-30,8430.0
2021-07-31,6045.0
2021-08-02,7825.0
2021-08-03,6983.0
2021-08-04,6768.0
2021-08-05,6767.0
2021-08-06,7274.0
2021-08-07,4701.0
2021-08-09,6590.0
2021-08-10,7081.0
2021-08-11,6453.0
2021-08-12,6518.0
2021-08-13,7061.0
2021-08-14,4441.0
2021-08-16,4602.0
2021-08-17,7467.0
2021-08-18,6736.0
2021-08-19,5948.0
2021-08-20,6986.0
2021-08-21,4773.0
2021-08-23,7315.0
2021-08-24,7462.0
2021-08-25,7597.0
2021-08-26,7423.0
2021-08-27,7928.0
2021-08-28,5064.0
2021-08-30,8618.0
2021-08-31,8910.0
2021-09-01,8745.0
2021-09-02,8068.0
2021-09-03,8340.0
2021-09-04,5640.0
2021-09-06,8398.0
2021-09-07,8372.0
2021-09-08,6229.0
2021-09-09,7655.0
2021-09-10,8291.0
2021-09-11,4412.0
2021-09-13,8207.0
2021-09-14,7811.0
2021-09-15,7017.0
2021-09-16,7107.0
2021-09-17,7466.0
2021-09-18,5286.0
2021-09-20,7483.0
2021-09-21,7568.0
2021-09-22,6695.0
2021-09-23,6961.0
2021-09-24,7127.0
2021-09-25,5852.0
2021-09-27,7860.0
2021-09-28,8045.0
2021-09-29,7713.0
2021-09-30,8024.0
2021-10-01,9173.0
2021-10-02,6459.0
2021-10-04,8538.0
2021-10-05,8404.0
2021-10-06,7502.0
2021-10-07,7433.0
2021-10-08,8533.0
2021-10-09,5088.0
2021-10-11,7190.0
2021-10-13,8005.0
2021-10-14,7903.0
2021-10-15,8408.0
2021-10-16,5600.0
2021-10-18,7242.0
2021-10-19,6987.0
2021-10-20,6526.0
2021-10-21,6763.0
2021-10-22,8132.0
2021-10-23,5476.0
2021-10-25,8156.0
2021-10-26,8573.0
2021-10-27,8079.0
2021-10-28,8695.0
2021-10-29,10060.0
2021-10-30,7192.0
2021-11-02,10066.0
2021-11-03,10138.0
2021-11-04,9629.0
2021-11-05,10138.0
2021-11-06,6582.0
